RefDes,Type,X (in),Y (in),Side,Rotate,Value
ASSOC,603 LED BLUE,1.576,1.146,Top,0,BLUE
C1,CAP_0603,1.874,1.708,Top,180,0.1uF
C2,CAP_0603,1.581,1.555,Bottom,180,0.1uF
C3,CAP_0603,0.578,1.382,Top,270,0.1uF
C4,CAP_0603,1.168,1.721,Bottom,0,0.1uF
C5,CAP_0603,1.175,1.404,Bottom,0,0.22uF
C6,CAP_0805,1.793,0.372,Top,180,10uF
C7,CAP_0805,1.953,0.375,Top,0,22uF
C8,CAP100RP,1.866,0.147,Top,0,100uF 25V
C9,CAP_0805,0.351,0.492,Top,0,10uF
C10,CAP_0805,0.344,0.64,Top,0,22uF
C11,CAP100RP,0.779,0.481,Top,0,100uF 25V
C12,CAP_0805,2.005,2.67,Top,180,10uF
C13,CAP_0805,2.004,2.965,Top,180,22uF
C14,CAP100RP,2.524,2.209,Top,90,100uF 25V
C15,CAP_0805,0.752,2.691,Top,180,10uF
C16,CAP_0805,0.91,2.654,Top,0,22uF
C17,CAP100RP,0.761,2.913,Top,0,100uF 25V
C18,CAP_0603,1.581,1.418,Top,270,2.2nF
C19,CAP_0603,1.372,1.344,Top,0,0.1uF
C20,CAP_0603,1.125,1.452,Top,270,0.1uF
C21,CAP_0603,1.74,1.565,Top,270,0.1uF
C22,CAP_0603,1.191,1.533,Bottom,0,4.7uF
C23,CAP_0805,0.36,0.834,Top,270,10uF
C24,CAP_0805,0.441,0.835,Top,270,22uF
C25,CAP100RP,0.128,0.795,Top,0,100uF 25V
C26,CAP_0805,2.314,1.943,Top,0,
C27,CAP_0805,2.266,1.781,Top,0,
C28,CAP100RP,2.516,1.232,Top,90,
C29,CAP100RP,2.257,2.21,Top,90,
C30,CAP100RP,2.258,1.231,Top,90,
C31,CAP_0805,2.271,1.623,Top,0,
C32,CAP_0603,1.448,0.774,Top,0,0.1uF
C33,CAP_0603,1.644,0.774,Top,180,0.1uF
C34,CAP_0805,1.249,0.775,Top,180,22uF
C35,CAP_0603,0.078,1.318,Top,90,8.3pF
CN1,ARDHEAD10,1.19,2.469,Top,0,ARDHEAD10
CN3,DIGI ZigBee 1-10,0.439,1.091,Top,0,NPPN101BFLD-RC
CN4,DIGI ZigBee 11-20,0.435,1.956,Top,0,NPPN101BFLD-RC
CN5,ARDHEAD8,1.45,0.569,Top,0,ARDHEAD8
CN6,ARDHEAD8,2.15,2.469,Top,0,ARDHEAD8
CN7,ARDHEAD6,2.25,0.569,Top,0,ARDHEAD6
CN15,6PIN .100,2.524,1.598,Top,270,67996-406HLF
CN16,6PIN .100,1.959,2.102,Top,0,67996-406HLF
CN17,2PIN DENSE,1.26,2.906,Top,180,DENSE
D5,5MM LED RED,1.653,2.891,Top,90,RED
D6,5MM LED GREEN,1.638,0.248,Top,270,GREEN
L1,IND_0805,1.085,2.662,Top,90,
M1PWM,3PIN .100,2.511,0.99,Top,0,68000-103HLF
M2PWM,3PIN .100,1.912,2.91,Top,90,68000-103HLF
M3PWM,3PIN .100,0.764,0.2,Top,270,68000-103HLF
M4PWM,3PIN .100,0.218,2.471,Top,180,68000-103HLF
MOTOR1,2PIN POWER,2.43,0.271,Top,45,1729018
MOTOR2,2PIN POWER,2.445,2.829,Top,135,1729018
MOTOR3,2PIN POWER,0.258,0.271,Top,315,1729018
MOTOR4,2PIN POWER,0.274,2.83,Top,225,1729018
Q1,NZT651,1.974,0.997,Top,90,
R1,RES_0603,1.843,1.342,Top,270,4.7k
R2,RES_0603,1.893,1.342,Top,270,4.7k
R3,RES_0603,1.838,0.734,Top,180,
R4,RES_0603,1.97,0.736,Top,180,
R5,RES_0603,1.657,2.702,Top,90,
R6,RES_0603,1.545,0.397,Top,270,
R7,RES_0603,1.321,0.909,Top,0,1K
R8,RES_0603,0.213,2.326,Top,180,1K
R9,RES_0603,0.214,2.173,Top,180,1K
R10,RES_0603,1.312,1.14,Top,0,1K
R11,RES_0603,0.474,1.744,Top,0,4.7k
R12,RES_0603,0.34,1.742,Top,180,4.7k
R13,RES_0603,1.514,1.714,Top,180,0 Ohm
R14,RES_0603,1.186,1.442,Top,90,0 Ohm
R15,RES_0603,2.096,0.754,Top,90,10K
R16,RES_0603,2.181,2.002,Top,180,
R17,RES_0603,1.859,1.913,Top,90,
R18,RES_0603,2.106,1.914,Top,90,
R19,RES_0603,1.915,1.911,Top,270,
R20,RES_0603,1.563,1.764,Bottom,180,4.7k
R21,RES_0603,1.446,1.866,Bottom,270,4.7k
R22,RES_0603,1.682,1.558,Top,270,DNP
R23,RES_0603,1.683,1.71,Top,90,0 Ohm
R24,RES_0603,1.516,1.841,Top,0,DNP
R25,RES_0603,1.323,1.827,Top,180,0 Ohm
R26,RES_0603,1.106,1.624,Top,270,DNP
R27,RES_0603,0.984,1.553,Top,270,DNP
R28,RES_0603,0.988,1.707,Top,90,DNP
R29,RES_0603,0.984,1.865,Top,90,1K
R30,RES_0603,1.745,0.948,Top,270,10K
R31,RES_0603,1.769,1.15,Top,0,10K
RSSI,603 LED AMBER,1.577,0.913,Top,0,AMBER
RX,603 LED GREEN,0.057,2.301,Top,270,GREEN
SW1,SWITCH NK236,1.223,0.184,Top,0,NK236
TX,603 LED RED,0.053,2.146,Top,270,RED
U1,MPU-6000,1.392,1.52,Top,270,MPU-6000
U2,AK8975,1.979,1.562,Top,0,AK8975
U3,BMP085,0.434,1.51,Top,90,BMP085
U4,HMC5883L,1.383,1.48,Bottom,0,HMC5883L
